,title,link_registro,Tipo,Fecha_inicio,Fecha_final,Idioma,Dedicacion,Descripcion,Audiencia,Costos,sector_lista,tema_lista,competencias_lista
0,Especialización Diseño y gestión de proyectos de desarrollo | BID | MOOC,https://www.coursera.org/specializations/especializacion-en-diseno-y-gestion-de-proyectos-de-desarrollo?utm_source=BID&utm_medium=INDES,MOOC,1/10/2022,1/10/2025,Español,64 horas (16h cada curso de la especialización),"¿Sabes que los proyectos de desarrollo son cruciales para mejorar vidas y acelerar el desarrollo económico y social en América Latina y el Caribe? 

A diario, los gobiernos, instituciones y actores que trabajan para promover el desarrollo económico y social en la región, se enfrentan a un gran reto: transformar propuestas en realidades concretas que mejoren el bienestar de la sociedad de manera sostenible y brinden resultados dentro del tiempo estipulado y con los recursos disponibles. 

En esta especialización aprenderás, a través de casos de estudio y metodologías con estándares internacionales, conceptos y herramientas clave para diseñar y gestionar proyectos de desarrollo, y sus posibles riesgos, con énfasis en los resultados. Esta especialización está conformada por los siguientes cursos: 

- Diseño de proyectos de desarrollo 
- Herramientas de gestión de proyectos de desarrollo 
-  Gestión con enfoque en riesgos en proyectos de desarrollo 

Al finalizar, realizarás un para poner en práctica lo aprendido sobre el diseño y la gestión de proyectos de desarrollo en los distintos cursos. ","Esta especialización está dirigida a personas que trabajan en proyectos de desarrollo e impacto social, en particular a: 

- Funcionariado público a nivel nacional y subnacional. 
- Personal de ONGs, asociaciones publico privadas, fundaciones o consultorías.
- Personal del sector privado que laboren en el área de responsabilidad de las empresas con proyecto de impacto social.
- Personal docente e investigador, así como estudiantes del área de las ciencias sociales.","El acceso al contenido de los cursos es gratis durante 7 días. Si deseas obtener la certificación completa el costo es de USD$49 por mes hasta que termine y apruebe los 4 cursos de la especialización.
","[Agricultura y Desarrollo Social, Educación, Energía, Medioambiente y desastres naturales, Protección Social y Salud, Turismo sostenible, Transporte, Desarrollo urbano y vivienda, Agua y Saneamiento]","[Desarrollo Social, Desarrollo sostenible]","[Efectividad en el Desarrollo, Estrategias de gestión, Gestión de proyectos, Gestión de riesgos]"
1,Proyecto final en diseño y gestión de proyectos de desarrollo | BID | MOOC,https://www.coursera.org/learn/proyecto-final-en-diseno-y-gestion-de-proyectos-de-desarrollo?utm_source=BID&utm_medium=INDES,MOOC,1/20/2023,1/1/2025,Español,13 horas,"Los  proyectos de desarrollo  son cruciales para mejorar vidas  y  acelerar  el desarrollo económico y social en América Latina y el Caribe. Cursando la Especialización en Diseño y Gestión de Proyectos de Desarrollo podrás fortalecer tus habilidades para diseñarlos y gestionarlos de manera adecuada con el fin de lograr los resultados esperados. 


Este proyecto final forma parte de la Especialización, que está compuesta por tres cursos más: Diseño de proyectos de desarrollo, Herramientas de gestión de proyectos de desarrollo y Gestión con enfoque en riesgos en proyectos de desarrollo. 


En este trabajo final tendrás la oportunidad de aplicar los conocimientos aprendidos a lo largo de todo el trayecto de manera integradora. Se organiza en dos partes. En la primera parte, analizarás un caso de estudio aplicando los conocimientos trabajados en los tres cursos. Y en la segunda parte, plantearás distintos elementos de un proyecto de desarrollo para resolver un problema de tu comunidad.","Funcionariado público a nivel nacional y subnacional.
Personal de ONGs, asociaciones publico-privadas, fundaciones o consultorías.
Personal del sector privado que laboren en el área de responsabilidad de las empresas con proyecto de impacto social.
Personal docente e investigador, así como estudiantes del área de las ciencias sociales",El acceso al contenido es gratis durante 7 días. Si deseas obtener el certificado el costo es de $49 al mes hasta que termines los cursos que te interesen de la especialización.,"[Agricultura y Desarrollo Social, Energía, Medioambiente y desastres naturales, Industria, Integración Regional, Ciencia y Tecnología, Investigación Social, Protección Social y Salud, Turismo sostenible, Comercio, Transporte, Desarrollo urbano y vivienda, Agua y Saneamiento]",[Desarrollo sostenible],"[Pensamiento crítico, analítico y creativo, Planeación & Organización, Análisis de Problemas \xa0& Síntesis, Gestión de proyectos, Gestión de riesgos]"
2,Gestión con enfoque en riesgos en proyectos de desarrollo | BID | MOOC,https://www.coursera.org/learn/gestion-con-enfoque-en-riesgos-en-proyectos-de-desarrollo?utm_source=BID&utm_medium=INDES,MOOC,4/21/2022,1/1/2025,Español,16 horas,"¿Sabías que cada decisión que tomamos en nuestras acciones diarias implica riesgos? 

Hasta el mejor de los proyectos está expuesto a imprevistos por lo que aprender a gestionar riesgos es importante para maximizar las oportunidades y reducir las amenazas.   

Este curso te brindará los conocimientos fundamentales para aprender a gestionar anticipadamente los eventos positivos y negativos que pueden afectar la ejecución de un proyecto de desarrollo. A través de un caso de estudio, podrás aplicar las buenas prácticas de gestión de riesgos en un proyecto y realizarás ejercicios que te ayudarán a comprender conceptos y herramientas clave.  
 
Este MOOC forma parte de la Especialización en diseño y gestión de proyectos de desarrollo que recoge el conocimiento y experiencia del BID en sus más de 60 años trabajando por mejorar la calidad de vida en América Latina y el Caribe, así como de buenas prácticas internacionales para la gestión de proyectos. Se compone de los siguientes cursos:  

- Diseño de proyectos de desarrollo   
- Herramientas de gestión de proyectos de desarrollo   
- Gestión con enfoque en riesgos en proyectos de desarrollo","Funcionariado público a nivel nacional y subnacional.
Personal de ONGs, asociaciones publico-privadas, fundaciones o consultorías.
Personal del sector privado que laboren en el área de responsabilidad de las empresas con proyecto de impacto social.
Personal docente e investigador, así como estudiantes del área de las ciencias sociales",El acceso al contenido es gratis durante 7 días. Si deseas obtener el certificado el costo es de $49 al mes hasta que termines los cursos que te interesen de la especialización.,"[Agricultura y Desarrollo Social, Energía, Medioambiente y desastres naturales, Industria, Migraciones, Ciencia y Tecnología, Investigación Social, Protección Social y Salud, Turismo sostenible, Comercio, Transporte, Desarrollo urbano y vivienda, Agua y Saneamiento]","[Gestión del riesgo ambiental y social, Desarrollo sostenible]","[Gestión del riesgo social y ambiental, Estrategias de gestión, Gestión de proyectos, Gestión de riesgos]"
3,Herramientas de gestión en proyectos de desarrollo | BID | MOOC,https://www.coursera.org/learn/herramientas-de-gestion-de-proyectos-de-desarrollo?utm_source=BID&utm_medium=INDES,MOOC,4/21/2022,1/1/2025,Español,16 horas,"¿Conoces el valor de utilizar distintas herramientas para la gestión de proyectos?  

Desarrollar y aplicar adecuadamente herramientas de gestión de proyectos puede generar un cambio sustancial para alcanzar los objetivos propuestos con los recursos disponibles.  

El contenido de este MOOC se basa en la metodología de Gestión de Proyectos para Resultados (PM4R) creada por el BID, que considera las siguientes 7 herramientas: la planeación de alcance; la gestión de tiempo; la gestión de costos; la gestión de compras; la gestión de comunicaciones; y la gestión de responsabilidades y de control de proyecto. 
 
Este MOOC forma parte de la Especialización en diseño y gestión de proyectos de desarrollo que recoge el conocimiento y experiencia del BID en sus más de 60 años trabajando por mejorar la calidad de vida en América Latina y el Caribe, así como de buenas prácticas internacionales para la gestión de proyectos. Se compone de los siguientes cursos:  

- Diseño de proyectos de desarrollo  
- Herramientas de gestión de proyectos de desarrollo  
- Gestión con enfoque en riesgos en proyectos de desarrollo","Funcionariado público a nivel nacional y subnacional.
Personal de ONGs, asociaciones publico-privadas, fundaciones o consultorías.
Personal del sector privado que laboren en el área de responsabilidad de las empresas con proyecto de impacto social.
Personal docente e investigador, así como estudiantes del área de las ciencias sociales","El acceso al curso es gratis durante 7 días. Si deseas obtener el certificado, el costo es de $49 al mes hasta que termines los cursos que te interesen de la especialización.","[Agricultura y Desarrollo Social, Energía, Medioambiente y desastres naturales, Industria, Migraciones, Ciencia y Tecnología, Investigación Social, Protección Social y Salud, Turismo sostenible, Comercio, Transporte, Desarrollo urbano y vivienda, Agua y Saneamiento]",[Desarrollo sostenible],"[Efectividad en el Desarrollo, Estrategias de gestión, Gestión de proyectos]"
4,Diseño de proyectos de desarrollo | BID | MOOC,https://www.coursera.org/learn/diseno-de-proyectos-de-desarrollo?utm_source=BID&utm_medium=INDES,MOOC,4/21/2022,1/1/2025,Español,16 horas,"¿Sabes cómo hacer para que tus proyectos logren los resultados esperados? Un diseño adecuado es el primer paso hacia un proyecto exitoso.  

Este curso te brindará los conocimientos y herramientas fundamentales para diseñar proyectos de desarrollo sostenibles, evaluables y que cumplan con los objetivos propuestos.  

El contenido de este MOOC está basado en las mejores prácticas para el diseño de nuevos proyectos de desarrollo económico y social de acuerdo con el Marco de Efectividad para el Desarrollo del Banco Interamericano de Desarrollo (BID), lo cual te ayudará a mejorar la comunicación, efectividad y rendición de cuentas en tus proyectos. Además de videos, lecturas y ejercicios, podrás aplicar tus conocimientos a través de casos de estudio. 

Además, este MOOC hace parte de la Especialización en diseño y gestión de proyectos de desarrollo, que recoge el conocimiento y experiencia del BID en sus más de 60 años trabajando por mejorar la calidad de vida en América Latina y el Caribe, así como de buenas prácticas internacionales para la gestión de proyectos. Esta especialización se compone de los siguientes cursos: 

- Diseño de proyectos de desarrollo
- Herramientas de gestión de proyectos de desarrollo
- Gestión con enfoque en riesgos en proyectos de desarrollo","Funcionariado público a nivel nacional y subnacional.
Personal de ONGs, asociaciones publico-privadas, fundaciones o consultorías.
Personal del sector privado que laboren en el área de responsabilidad de las empresas con proyecto de impacto social.
Personal docente e investigador, así como estudiantes del área de las ciencias sociales",El acceso al contenido es gratis durante 7 días. Si deseas realizar la especialización. Si deseas obtener la certificación completa el costo es de USD$49 por mes hasta que termines los cursos de la especialización que sean de tu interés.,"[Agricultura y Desarrollo Social, Energía, Medioambiente y desastres naturales, Industria, Protección Social y Salud, Turismo sostenible, Comercio, Transporte, Desarrollo urbano y vivienda, Agua y Saneamiento]",[Desarrollo sostenible],"[Estrategias de gestión, Planeación & Organización, Gestión de proyectos]"
5,Qué financiar en salud y a qué precio | BID | MOOC,https://www.edx.org/es/course/que-financiar-en-salud-y-a-que-precio?utm_campaign=idbx&utm_medium=partner-marketing&utm_source=referral&utm_content=salud_indes,MOOC,6/29/2023,8/27/2024,Español,4 horas/ 10 semanas,"Aprende con más de 40 expertos de todo el mundo sobre dos estrategias clave para mejorar la eficiencia del gasto público en salud y apoyar los países a avanzar hacia la Cobertura Universal de Salud (CUS): la priorización explícita en salud e instrumentos para conseguir precios más asequibles para los medicamentos.
Avanzar hacia la Cobertura Universal de Salud (CUS) , es decir, alcanzar el acceso a los servicios de salud para toda la población sin causar penurias financieras, es del interés de todos y uno de los grandes Objetivos de Desarrollo Sostenible (ODS) para el 2030, propuestos por la Organización para las Naciones Unidas (ONU) y suscritos por la gran parte de los países.

Sin embargo, para lograrlo, los países se enfrentan, entre otros, a un enorme desafío: ¿qué servicios y tecnologías sanitarias financiar para la población, y cómo lograrlo con los recursos públicos disponibles? Esto, teniendo en cuenta que, en todas las naciones, ya sean ricas o pobres, los recursos son insuficientes para cubrir todas las necesidades de las personas.

Por eso, el Banco Interamericano de Desarrollo (BID) y su Red Criteria , en alianza con el Center for Global Development (CGD) , se complacen en presentarte el curso “Qué financiar en salud y a qué precio” , el cual discute dos estrategias clave para apoyar los países a avanzar hacia la CUS y mejorar la eficiencia del gasto público en salud: la priorización explícita en salud e instrumentos para conseguir precios más asequibles para los medicamentos.

Al navegar en el curso, conoceremos más acerca de los desafíos que enfrentan los países y las estrategias y herramientas disponibles para apoyarlos, de la mano de algunos de los mejores expertos internacionales en esta temática.

Los recursos son escasos y gastar de manera inteligente es fundamental, para lograr más salud para la población por dólar invertido. ¿Te lo vas a perder?","- Tomadores de decisión y funcionarios públicos que actúan en las áreas de políticas de salud y financiamiento de servicios.
- Especialistas en economía, medicina y derecho a la salud.
- Académicos (investigadores, profesores, estudiantes).
- Formadores de opinión.
- Ciudadanos interesados en aprender acerca de los procesos de decisión y las políticas disponibles, pata mejorar la efectividad, calidad y cobertura de los servicios de salud.",El acceso al contenido del curso es gratis. Si deseas obtener el certificado verificado tiene un costo de $25,"[Salud, Protección Social y Salud]","[Economía y Desarrollo, Desarrollo Social]","[Pensamiento crítico, analítico y creativo, Diseño de Políticas Públicas, Efectividad en el Desarrollo, Estrategias de gestión, Gestión de recursos]"
6,Liderazgo femenino: potencia tus habilidades e impulsa el cambio | BID | MOOC,https://www.edx.org/es/course/liderazgo-femenino-potencia-tus-habilidades-e-impulsa-el-cambio?utm_campaign=idbx&utm_medium=partner-marketing&utm_source=display&utm_content=liderazgo_femenino_indes,MOOC,3/16/2023,6/15/2024,Español,1-2 horas/ 10 semanas,"¿Sabes cuál es tu estilo de liderazgo? ¿Te gustaría desarrollar o fortalecer habilidades de liderazgo con un enfoque de género?¿Conoces cómo se encuentran los países de América Latina y el Caribe en temas de liderazgo femenino o cuál es la importancia de que más mujeres asuman cargos de toma de decisiones en la región? ¿Te gustaría conocer cuáles son los retos y oportunidades de las mujeres en esta era y qué habilidades y estrategias debes desarrollar para fortalecer tus competencias de liderazgo?
Aunque las mujeres representan el 60% de los graduados en carreras terciarias y universitarias en América Latina y el Caribe (UNESCO, 2018) tan solo el 8.3% de los puestos en los consejos directivos de las empresas son ocupados por mujeres. En este contexto, es más importante que nunca que mejores tus habilidades de liderazgo para no quedarte atrás.
En este curso analizarás el tipo de liderazgo que demanda un entorno cambiante como el actual, podrás autoevaluarte para saber cómo estás manejando tu estilo y cómo ajustarlo. También 
aprenderás sobre cómo puedes ser más productiva sin sacrificar tu desarrollo personal y profesional.
Aprenderás de diferentes herramientas que te permitirán conocerte mejor y desarrollar tu marca personal, realizar networking efectivo; ser más asertiva, resiliente y tener confianza en ti misma a partir de la inteligencia emocional; y finalmente aprenderás sobre habilidades comunicacionales para persuadir, influir en los demás y saber presentarte de forma clara y efectiva.
En este curso analizarás el tipo de liderazgo que demanda un entorno cambiante como el actual y podrás autoevaluarte para saber cómo estás manejando tu estilo, y ajustarlo donde sea preciso. Así mismo, descubrirás cómo puedes beneficiarte con un proceso de mentoría que te ayude a proyectar tu carrera. Tendrás a tu disposición herramientas prácticas para conocerte mejor, lo que te ayudará a desarrollar tu “marca personal” y utilizarla en espacios que te brindarán nuevas oportunidades de desarrollo. Para potenciar tu éxito en el curso aprenderás cómo desarrollar tu inteligencia emocional y tus habilidades comunicacionales a fin de fomentar tu asertividad, la seguridad en ti misma y tu imagen pública, así como tu capacidad para adaptarte a los cambios, para persuadir a los demás y para superar la adversidad.
Aprovecha la oportunidad de potenciar tu carrera y convertirte en una líder. Con tan solo dedicar 2 horas a la semana, desde donde quieras y cuando mejor te convenga, puedes aprender a desarrollar tus habilidades de liderazgo y dar un impulso a tu carrera.
","A todas aquellas mujeres que deseen aprender:
- Estrategias enfocadas al desarrollo de habilidades de liderazgo, que mejorarán tu capacidad de influencia y asumir cargos con mayor responsabilidad en tu sector o en tu comunidad.
- Herramientas prácticas para fortalecer tus habilidades intrapersonales e interpersonales como el autoconocimiento, inteligencia emocional, marca personal y comunicación de alto impacto que te permitirán asumir posiciones de liderazgo.
- Estrategias de liderazgo en distintos contextos y sectores a partir de casos de éxito de mujeres que han asumido roles con este compromiso (role models).",El acceso al contenido del curso es gratis. Si deseas obtener el certificado verificado e insignia digital el costo es de $29,[Investigación Social],[Desarrollo Social],"[Pensamiento crítico, analítico y creativo, Efectividad en el Desarrollo, Comunicación efectiva, Conciencia global; diversidad e inclusión, Estrategias de gestión]"
7,Leaders in Citizen Security and Justice Management for the Caribbean | BID | MOOC,https://www.edx.org/course/leaders-in-citizen-security-and-justice-management?utm_campaign=idbx&utm_medium=partner-marketing&utm_source=display&utm_content=citizen_security_indes,MOOC,2/23/2023,5/22/2024,Inglés,6- 7h/ 7 weeks,"The high rates of crime and violence are two of the main challenges that affect the citizens of Latin America and the Caribbean. That is why the public policies of citizen security are prioritized in the agendas of the governments of the region. To improve the effectiveness of these policies, it is essential to have an informed civil society making sure that social rights are respected and that the rule of law is fulfilled under a regime of democratic governance. Hence the importance of making this material available to the general public, which allows knowing both the theoretical concepts and what is currently being done in practice in terms of the implementation of citizen security and justice policies in the region. In particular, the course provides applied knowledge and technical tools for the design, implementation, and evaluation of programs aimed at strengthening the different links that make up the criminal justice system: prevention of crime and violence; crime deterrence; law enforcement; crime judicialization and social rehabilitation of prisoners. The course was jointly designed by the IDB and the consortium of universities of Chile, John Jay College of Criminal Justice in New York and FADISMA in Brasil. Check the information about scholarships and the face-to-face training week at the following link: http://callforproposals.iadb.org/cfp-seguridad-ciudadana/home-course-en What you will learn: - The main theoretical and conceptual frameworks of crime, violence and prevention. - Key elements for effective and efficient institutional management based on data. - Prevention models of youth violence and against women. - Key elements for pólice modernization and reform. - Alternatives for criminal justice and social reintegration policies.
","It is expected that this course will create awareness among public officials, authorities, academics, journalists, civil society and the public interested in citizen security and justice issues in Latin America and the Caribbean, on the intersectoral nature of policies that seek to improve the services of social prevention of violence, police, prosecutor’s offices, and prisons.  
","There is no cost for registering for the course, participate and access all instructional material.  
Certificate: If you want to obtain a certificate, the cost is US$ 25,00",[Reforma / Modernización del Estado],[Desarrollo de instituciones],"[Diseño de Políticas Públicas, Gestión organizacional, Planeación & Organización, Solución de Problemas & Innovación, Etica Profesional]"
8,Líderes para la gestión en seguridad ciudadana y justicia | BID | MOOC,https://www.edx.org/es/course/lideres-para-la-gestion-en-seguridad-ciudadana-y-j,MOOC,2/23/2023,5/22/2024,Español,6-7H/ 7 semanas,"Las altas tasas de crimen y violencia son dos de los principales problemas que afectan a los ciudadanos de América Latina y el Caribe, por lo cual las políticas públicas de seguridad ciudadana y justicia se encuentran priorizados en las agendas de los gobiernos de la región. Para mejorar la efectividad de estas políticas es imprescindible contar con una sociedad civil informada que vele porque los derechos sociales se respeten y el estado de derecho se cumpla bajo un régimen de gobernanza democrática. De ahí la importancia de poner a disposición del público en general este material que permite conocer tanto los conceptos teóricos como lo que actualmente se está haciendo en la práctica en cuanto a la implementación de políticas de seguridad ciudadana y justicia en la región.   
  
En particular, el curso provee conocimiento aplicado y herramientas técnicas para el diseño, implementación y evaluación de programas dirigidos a fortalecer los diferentes eslabones que componen el sistema de justicia criminal: la prevención del crimen y las violencia; la disuasión del crimen; el control del delito y el cumplimiento de la ley; la judicialización del delito, y la reinserción social de los privados de libertad, que contribuyan a fortalecer el estado de derecho de los países en la región.  
  
El curso fue diseñado conjuntamente por parte del BID y el consorcio de universidades de Chile, John Jay College of Criminal Justice de la Ciudad de Nueva York y FADISMA en Brasil.  
  
Consulta la información sobre becas y la semana de capacitación presencial en el siguiente enlace: http://callforproposals.iadb.org/cfp-seguridad-ciudadana/home-curso
Lo que aprenderás:

- Los principales marcos teóricos y conceptuales de la criminalidad, violencia y prevención. 
- Elementos clave para una gestión institucional efectiva y eficiente a partir de datos. 
- Modelos de prevención de violencia juvenil y contra la mujer. 
- Elementos clave para la modernización y reforma policial. 
- Alternativas de políticas de justicia penal y reinserción social. ","Se espera que este curso permita crear conciencia entre los funcionarios públicos, autoridades, académicos, periodistas, sociedad civil y todo el público interesado en temas de seguridad ciudadana y justicia en América Latina y el Caribe, sobre la naturaleza intersectorial de las políticas que buscan mejorar los servicios de prevención social de la violencia, policía, fiscalías y prisiones.  ","Costo: ninguno para registrarse al curso, participar, acceder a los materiales. Certificado: Si deseas obtener un certificado de que has tomado y aprobado el curso el costo es de US$ 25.00 ",[Reforma / Modernización del Estado],[Desarrollo de instituciones],"[Diseño de Políticas Públicas, Planeación & Organización, Solución de Problemas & Innovación, Etica Profesional, Gestión para resultados]"
9,Gestión por resultados para gobiernos subnacionales | BID | MOOC,https://www.edx.org/es/course/gestion-por-resultados-para-gobiernos-subnacionale?utm_campaign=idbx&utm_medium=partner-marketing&utm_source=referral&utm_content=gobiernos_subnacionales_indes,MOOC,3/16/2023,5/15/2024,Español,40 horas / 10 semanas,"¿Qué se entiende por gestión para resultados en el desarrollo?
¿Cuáles son los componentes del ciclo de gestión pública que aborda la gestión para resultados en el desarrollo? 
¿Cuáles son los principales desafíos en América Latina y el Caribe para la implementación de la gestión para resultados en el desarrollo? 
¿Cuál es el rol de los funcionarios públicos y cuál es el rol de la ciudadanía en la gestión para resultados? 
Este curso da respuesta a las anteriores preguntas y, a modo de introducción, brinda el marco conceptual de la gestión para resultados en el desarrollo en los gobiernos subnacionales. 
Los países de América Latina y el Caribe enfrentan considerables desafíos de la gestión pública, tales como el diseño de políticas públicas que tengan en consideración los puntos de vista de los diferentes actores; las demandas ciudadanas y los escasos recursos disponibles; la asignación de los recursos financieros; la calidad de los servicios públicos o el seguimiento y la evaluación de la gestión, entre otros. 
La gestión para resultados en el desarrollo y su enfoque de gerencia contribuyen al abordaje de estos desafíos mediante el tratamiento integral de las distintas etapas del ciclo de la gestión pública, el uso de la información para la toma de decisiones y el empleo de múltiples instrumentos y metodologías. 
Lo que aprenderás 


Comprender el marco conceptual de la Gestión para Resultados (GpRD) 
Conocer la situación actual y desafíos de la GprD 
Identificar conceptos, procesos e instrumentos de la cadena de resultados para la gestión en GpRD 
Identificar potenciales acciones para implementar la GpRD a nivel municipal, provincial o estatal


",Sin pre-requisitos,"Costo: ninguno para registrarse al curso, participar y acceder a los materiales. 
Certificado: Si deseas obtener un certificado de que has tomado y aprobado el curso el costo es de US$ 25.00.","[Reforma / Modernización del Estado, Comercio]",[Desarrollo de instituciones],"[Efectividad en el Desarrollo, Estrategias de gestión, Planeación & Organización, Gestión para resultados]"
