,titulo,descripcion,inicio_curso,videos_youtube,URL,tema,lecciones
0,Informática Básica,"Aprende cómo empezar a usar un computador desde el principio, cuáles son sus partes, cómo conectarlo e instalar programas.",https://edu.gcfglobal.org/es/informatica-basica/que-es-un-computador/1/,https://www.youtube.com/playlist?list=PLQVIjL9XTrQ0grV_RVr8Fw2LxYNHc-jVt,https://edu.gcfglobal.org/es/informatica-basica/,Informática básica,"Cómo usar un computador,Explora Windows,Explora Mac OS X,Las partes básicas de un computador,Sistemas operativos,Computadores Portátiles,Otros tipos de dispositivos,Dispositivos móviles,Otros Conceptos"
1,Conceptos básicos de programación,Aprende los principios y conceptos de la programación. Conoce todo sobre los lenguajes de programación y comprende cómo se desarrollan los sistemas informáticos.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/que-es-programar/1/,https://www.youtube.com/watch?v=3F-kuNGlNco&list=PLQVIjL9XTrQ1ANovnlN8WbHp-YxWdzKYK,https://edu.gcfglobal.org/es/informatica-avanzada/,Informática básica,"¿Qué es la programación?,Sistema binario,Códigos numéricos,Tipos de datos y operadores,Algoritmos,Diagramas de flujo,Lenguajes de programación"
2,¿Cómo imprimir?,"Aprende los pasos básicos para imprimir desde tu computador un documento, foto, página web o correo electrónico. Además, te enseñamos la forma más sencilla de imprimir desde tu teléfono celular.",https://edu.gcfglobal.org/es/como-imprimir/como-conectar-una-impresora-a-un-computador/1/,0,https://edu.gcfglobal.org/es/como-imprimir/,Informática básica,"¿Qué necesitas para imprimir?,¿Cómo imprimir un archivo?,¿Cómo imprimir desde un teléfono móvil?"
3,Virus informáticos y antivirus,"En este curso verás qué son son los virus informáticos, que tipos de virus hay, en qué se diferencian unos de otros, que son los antivirus y como usarlos.",https://edu.gcfglobal.org/es/virus-informaticos-y-antivirus/que-es-un-virus-informatico/1/,0,https://edu.gcfglobal.org/es/virus-informaticos-y-antivirus/,Informática básica,"Los virus informaticos,Los antivirus"
4,Curso básico de HTML,"Aprende los conceptos básicos del HTML, un lenguaje informático que te permite construir páginas web. Te enseñaremos a usar sus etiquetas para crear sitios web con textos, imágenes, links y mucho más.",https://edu.gcfglobal.org/es/curso-basico-de-html/que-es-html/1/,0,https://edu.gcfglobal.org/es/curso-basico-de-html/,Informática básica,"¿Cómo empezar?,Escribe en HTML,Extras"
5,Procesadores de texto,"Aquí aprenderás sobre las herramientas básicas y comunes entre los distintos procesadores de texto, como Word, Pages y Documentos de Google.",https://edu.gcfglobal.org/es/procesadores-de-texto/como-seleccionar-un-texto/1/,0,https://edu.gcfglobal.org/es/procesadores-de-texto/,Ofimática,"Opciones básicas de texto,Función Insertar"
6,Presentaciones básicas,"En este curso aprenderás a crear presentaciones básicas en PowerPoint, Google Drive y Keynote.",https://edu.gcfglobal.org/es/presentaciones-basicas/como-crear-una-diapositiva-sencilla/1/,https://www.youtube.com/watch?v=YMzDHZmCncQ&list=PLQVIjL9XTrQ2xFa4BZG2zUgu9EPubq9qk,https://edu.gcfglobal.org/es/presentaciones-basicas/,Ofimática,Presentación básica
7,Programas de hojas de cálculo,"Conoce cuáles son las herramientas básicas al trabajar en un programa de hojas de cálculo, como Excel o Pages.",https://edu.gcfglobal.org/es/programas-de-hojas-de-calculo/que-es-una-celda-de-hoja-de-calculo/1/,https://www.youtube.com/watch?v=ZBkkrnD7GBo&list=PLQVIjL9XTrQ1ZtzGQPdWDIVWAxie0VJ43,https://edu.gcfglobal.org/es/programas-de-hojas-de-calculo/,Ofimática,"Composición de una hoja de cálculo,Fórmulas y funciones en libros de cálculo"
8,Google Drive,Aprende en este curso gratuito de Google Drive a almacenar y compartir archivos en la nube. ,https://edu.gcfglobal.org/es/google-drive/que-es-google-drive-/1/,0,https://edu.gcfglobal.org/es/google-drive/,Ofimática,"Introducción a Google Drive, Gestión de archivos y carpetas en Google Drive, Google Drive en dispositivos,Test"
9,Google Slides,En este curso te enseñaremos a usar este programa gratuito basado en la nube para crear presentaciones profesionales.,https://edu.gcfglobal.org/es/google-slides/google-slides-vs-powerpoint/1/,0,https://edu.gcfglobal.org/es/google-slides/,Ofimática,"Introducción a Google Slides,Temas y plantillas ,Herramientas básicas de Google Slides,Configuración de las diapositivas,Trabajo colaborativo en Google Slides,Imprimir en Google Slides,Test "
