,Categoria,Url_Categoria,Nombre_Curso,URL_Curso
0,architecture-history,https://www.edx.org/learn/architecture-history,The Architectural Imagination,https://www.edx.org/course/the-architectural-imagination
1,architecture-history,https://www.edx.org/learn/architecture-history,Pyramids of Giza: Ancient Egyptian Art and Archaeology,https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol
2,architecture-history,https://www.edx.org/learn/architecture-history,Japanese Architecture and Structural Design,https://www.edx.org/course/japanese-architecture-and-structural-design
3,architectural-restoration,https://www.edx.org/learn/architectural-restoration,The Architectural Imagination,https://www.edx.org/course/the-architectural-imagination
4,construction,https://www.edx.org/learn/construction,Sustainable Building Design,https://www.edx.org/course/environmental-technologies-in-buildings
5,construction,https://www.edx.org/learn/construction,e-Learning Course on Urban Rail Development,https://www.edx.org/course/e-learning-course-on-urban-rail-development
6,construction,https://www.edx.org/learn/construction,Managing Building Adaptation: A Sustainable Approach,https://www.edx.org/course/managing-building-adaptation-a-sustainable-appro-2
7,construction,https://www.edx.org/learn/construction,Energy Demand in Buildings,https://www.edx.org/course/energy-needs-in-buildings-2
8,dynamics,https://www.edx.org/learn/dynamics,Dynamics and Control,https://www.edx.org/course/dynamics-and-control
9,dynamics,https://www.edx.org/learn/dynamics,Neuronal Dynamics,https://www.edx.org/course/neuronal-dynamics
10,dynamics,https://www.edx.org/learn/dynamics,Advanced Fluid Mechanics 1: Fundamentals,https://www.edx.org/course/advanced-fluid-mechanics-1
11,dynamics,https://www.edx.org/learn/dynamics,Modeling and Simulation of Multibody Systems - Part I,https://www.edx.org/course/modeling-and-simulation-of-multibody-systems-part-i
12,history,/learn/history,,
13,housing,https://www.edx.org/learn/housing,Inclusive and Sustainable Cities,https://www.edx.org/professional-certificate/delftx-inclusive-and-sustainable-cities
14,housing,https://www.edx.org/learn/housing,"CitiesX: The Past, Present and Future of Urban Life",https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life
15,housing,https://www.edx.org/learn/housing,Sustainable Cities,https://www.edx.org/course/sustainable-cities-2
16,housing,https://www.edx.org/learn/housing,Global Housing Design,https://www.edx.org/course/global-housing-design
17,housing,https://www.edx.org/learn/housing,Sustainable Construction Management,https://www.edx.org/course/sustainable-construction-management
18,housing,https://www.edx.org/learn/housing,Smart Cities for Sustainable Development,https://www.edx.org/course/smart-cities-for-sustainable-development-virtual-knowledge-exchange
19,housing,https://www.edx.org/learn/housing,"Urban Upgrading for Inclusion, Sustainability and Resilience in a time of Global Pandemics",https://www.edx.org/course/urban-upgrading-for-inclusion-sustainability-and-resilience-in-a-time-of-global-pandemics
20,housing,https://www.edx.org/learn/housing,Building expertise on developing sustainable and resilient infrastructure,https://www.edx.org/course/building-expertise-on-developing-sustainable-and-r
21,housing,https://www.edx.org/learn/housing,Managing Building Adaptation: A Sustainable Approach,https://www.edx.org/course/managing-building-adaptation-a-sustainable-appro-2
22,infrastructure,https://www.edx.org/learn/infrastructure,Cybersecurity for Critical Urban Infrastructure,https://www.edx.org/course/cybersecurity-clinic
23,infrastructure,https://www.edx.org/learn/infrastructure,"Smart Cities, Management of Smart Urban Infrastructures",https://www.edx.org/course/smart-cities-management-of-smart-urban-infrastru-2
24,infrastructure,https://www.edx.org/learn/infrastructure,Urban Infrastructure Management,https://www.edx.org/course/urban-infrastructure-management
